"reason","god","devil","heaven","hell","miracles","angels","ghosts","reincarnation","astrology","psychics","witches","zombies","vampires","UFO","afraidWalkAtNight","debate","debateWinner","likelyVote","candidate","environment","terrorism","economy","racism","policeBrutality","lawAndOrder","genderEquality","borderSecurity","familyValues","bigMoney","gunRights","voteParents","section"
9,10,7,10,10,10,10,10,4,4,7,9,0,0,7,"No","All of it","Hillary Clinton",10,"Hillary Clinton",10,8,8,10,10,10,10,4,1,10,5,"Yes","L1"
6,10,9,10,8,7,9,6,0,5,4,0,0,0,0,"Yes","Most of it","No opinion",6,"Hillary Clinton",6,8,4,10,10,10,10,5,6,5,3,"No","L1"
10,9,9,10,10,10,10,10,2,3,2,3,0,0,0,"No","All of it","Hillary Clinton",10,"Hillary Clinton",0,8,10,10,10,10,10,10,5,10,10,"Yes","L1"
6,6,3,7,4,7,4,4,6,5,1,0,0,0,2,"No","Most of it","Unsure",10,"Hillary Clinton",3,10,8,8,8,10,3,9,6,6,2,"Yes","L1"
10,10,10,10,10,7,10,0,1,0,0,0,0,0,0,"No","No","Hillary Clinton",10,"Hillary Clinton",5,4,10,10,10,6,10,0,3,10,0,"Yes","L1"
8,0,0,0,0,2,0,6,1,0,2,1,1,1,8,"Yes","Just a few clips","Hillary Clinton",-1,"Hillary Clinton",8,7,7,10,10,8,10,7,0,6,5,"Unsure","L1"
5,9,8,10,9,8,10,6,2,9,6,0,0,0,0,"Yes","Most of it","No opinion",10,"Gary Johnson",7,10,10,10,9,8,10,5,5,5,5,"Yes","L1"
8,10,10,10,10,7,9,6,5,4,6,3,0,0,0,"Yes","Most of it","No opinion",6,"Donald Trump",3,6,5,7,8,5,7,1,6,4,3,"Unsure","L1"
7,8,2,0,0,4,0,10,5,0,1,9,0,6,10,"No","Just a few clips","Donald Trump",5,"Gary Johnson",10,9,10,2,3,6,1,2,7,9,1,"No","L1"
4,2,2,3,2,5,1,1,0,0,0,0,0,0,4,"No","Just a few clips","Hillary Clinton",3,"Hillary Clinton",8,4,8,10,9,7,6,1,0,7,5,"Yes","L1"
8,8,2,6,2,4,6,1,9,1,0,0,0,0,3,"Yes","No","No opinion",3,"Hillary Clinton",7,10,6,9,2,1,8,3,4,0,5,"No","L1"
8,6,3,5,5,10,1,1,0,5,1,1,0,0,0,"Yes","No","No opinion",6,"Gary Johnson",10,10,10,10,10,10,10,9,10,5,6,"No","L1"
9,2,0,0,0,0,0,0,5,0,0,0,0,0,3,"No","Most of it","Hillary Clinton",10,"Hillary Clinton",10,6,8,10,10,8,10,1,0,10,0,"Unsure","L1"
10,10,10,10,10,10,10,2,0,5,5,5,0,0,0,"Yes","Just a few clips","Unsure",0,"Other",10,10,3,3,0,10,3,10,10,6,10,"Yes","L1"
5,6,6,6,6,5,5,0,1,0,0,0,0,0,0,"Yes","Most of it","Hillary Clinton",10,"Hillary Clinton",10,8,10,10,10,9,10,3,2,10,4,"Unsure","L1"
9,9,6,9,7,9,9,7,8,9,6,1,1,1,5,"Yes","Just a few clips","Donald Trump",8,"Donald Trump",5,8,4,7,6,9,8,8,9,6,7,"Yes","L1"
10,7,0,10,1,5,0,0,5,5,10,0,0,0,0,"No","Just a few clips","Hillary Clinton",10,"Gary Johnson",8,7,0,9,5,3,6,1,10,2,4,"Unsure","L1"
7,10,9,10,10,10,10,10,9,9,10,9,6,7,7,"Yes","Most of it","Hillary Clinton",10,"Hillary Clinton",10,9,9,10,6,5,10,0,8,9,7,"Yes","L1"
7,2,2,3,3,6,2,2,2,2,2,2,2,2,2,"Yes","Just a few clips","Hillary Clinton",10,"Hillary Clinton",7,7,7,9,8,8,10,8,9,8,7,"Yes","L1"
10,8,8,8,8,10,10,10,1,0,5,5,0,2,7,"No","Just a few clips","Hillary Clinton",10,"Hillary Clinton",10,6,7,6,5,8,6,10,5,9,1,"Yes","L1"
5,1,1,1,1,1,1,1,1,0,0,0,0,0,5,"No","Just a few clips","Hillary Clinton",5,"Hillary Clinton",5,6,6,8,5,10,10,7,5,8,5,"Unsure","L1"
10,10,10,10,10,10,10,0,0,0,0,7,0,0,0,"No","Most of it","Hillary Clinton",-1,"Hillary Clinton",9,6,9,6,10,9,4,7,8,9,0,"Yes","L1"
10,5,5,5,5,8,10,10,7,2,7,0,0,0,9,"No","Just a few clips","Unsure",10,"Gary Johnson",7,10,10,9,10,7,7,0,0,7,0,"Yes","L1"
10,5,5,6,5,8,6,3,7,6,4,0,0,0,6,"Yes","Just a few clips","Hillary Clinton",9,"Hillary Clinton",4,7,5,10,9,3,8,1,6,1,2,"Yes","L1"
5,10,8,8,8,8,6,0,2,3,3,0,0,0,0,"No","Most of it","Donald Trump",7,"Donald Trump",4,10,4,5,5,6,2,6,8,7,7,"Yes","L1"
7,0,0,0,0,5,0,7,3,1,1,0,0,0,0,"No","Just a few clips","Hillary Clinton",5,"Hillary Clinton",5,7,7,10,10,7,9,5,6,10,5,"No","L1"
9,9,3,9,9,8,8,8,1,1,0,0,0,0,7,"No","Just a few clips","Hillary Clinton",10,"Hillary Clinton",8,9,10,10,10,10,10,10,3,7,2,"No","L1"
4,6,5,6,3,1,2,0,6,4,3,0,0,0,0,"Yes","All of it","Hillary Clinton",10,"Hillary Clinton",5,5,7,7,7,5,7,6,3,8,2,"Yes","L1"
8,10,0,10,3,8,6,1,0,2,1,0,0,0,0,"Yes","No","Unsure",8,"Unsure",8,10,6,10,10,10,10,6,5,4,1,"Unsure","L1"
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"No","Just a few clips","Donald Trump",5,"Donald Trump",5,7,0,0,0,7,0,5,5,9,8,"Yes","L1"
8,10,9,9,8,9,5,1,1,1,5,0,0,0,0,"Yes","No","Unsure",10,"Hillary Clinton",6,10,5,10,10,9,10,2,8,4,2,"Yes","L1"
8,10,5,10,10,8,8,8,5,2,3,1,0,0,3,"No","Most of it","Hillary Clinton",0,"Other",8,8,6,3,5,2,3,3,1,5,8,"No","L1"
8,5,5,5,5,10,10,5,5,5,10,5,5,5,10,"Yes","No","Donald Trump",-1,"Donald Trump",10,10,10,10,10,10,7,10,10,10,10,"Unsure","L1"
6,5,0,5,5,10,8,3,2,2,0,0,0,0,0,"Yes","Just a few clips","Hillary Clinton",10,"Hillary Clinton",8,7,2,10,8,9,10,4,4,6,2,"Yes","L1"
10,5,5,8,5,5,5,8,5,0,2,1,0,0,5,"No","Just a few clips","Unsure",10,"Hillary Clinton",10,8,8,8,8,10,10,3,3,7,10,"No","L1"
7,3,3,5,5,10,8,7,4,5,5,5,0,0,1,"No","Just a few clips","Hillary Clinton",10,"Hillary Clinton",10,8,9,10,10,8,8,5,10,10,5,"Unsure","L1"
6,4,4,6,6,4,8,7,8,2,2,0,0,0,0,"No","All of it","Hillary Clinton",-1,"Hillary Clinton",10,9,8,9,10,9,8,5,5,7,0,"Yes","L1"
8,10,10,10,10,10,10,5,0,0,0,0,0,0,0,"Yes","Just a few clips","Hillary Clinton",9,"Hillary Clinton",10,8,10,10,10,7,9,7,5,9,3,"Yes","L1"
9,3,0,4,0,3,3,0,0,5,0,0,0,0,0,"Yes","All of it","Hillary Clinton",11,"Hillary Clinton",10,10,10,10,10,10,10,6,0,9,0,"Yes","L1"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,"Yes","Just a few clips","Hillary Clinton",10,"Hillary Clinton",9,6,8,10,10,6,10,1,3,7,0,"Yes","L1"
7,10,10,10,10,10,10,7,6,3,6,0,0,0,2,"Yes","No","Unsure",10,"Hillary Clinton",9,9,9,9,10,5,8,4,9,7,3,"Yes","L1"
5,7,6,10,7,8,6,6,3,4,4,0,0,0,0,"Yes","Just a few clips","Hillary Clinton",7,"Unsure",5,7,7,10,8,5,4,9,6,8,5,"No","L1"
10,10,8,10,5,10,10,8,5,8,8,5,5,5,7,"Yes","Most of it","No opinion",5,"Hillary Clinton",8,1,9,10,5,4,8,7,6,3,2,"Yes","L1"
10,5,2,5,5,8,2,5,7,7,7,1,0,0,1,"Yes","Just a few clips","Hillary Clinton",10,"Hillary Clinton",10,10,10,10,10,10,10,10,10,10,10,"Yes","L1"
10,10,0,10,3,10,8,8,0,0,0,0,0,0,0,"No","Most of it","Unsure",10,"Donald Trump",10,8,2,7,2,4,10,10,10,1,3,"Yes","L1"
10,2,1,8,2,9,10,7,10,7,10,0,0,0,10,"Yes","No","Unsure",0,"Donald Trump",8,4,4,9,9,5,10,8,3,5,5,"No","L1"
10,10,0,10,10,5,10,0,5,5,0,0,0,0,0,"No","No","No opinion",0,"Unsure",5,10,10,10,10,10,10,5,5,0,5,"Unsure","L1"
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"No","No","No opinion",10,"Hillary Clinton",3,10,10,10,10,10,6,0,10,5,5,"Yes","L1"
7,1,0,3,3,6,7,1,0,1,0,0,0,0,0,"Yes","No","Unsure",5,"Unsure",4,7,7,7,4,3,5,6,2,3,4,"Yes","L1"
5,8,2,10,5,8,5,0,0,0,0,0,0,0,1,"Yes","No","Hillary Clinton",8,"Hillary Clinton",2,10,9,7,7,8,10,4,0,4,1,"Unsure","L1"
10,10,10,10,10,9,10,10,0,1,2,6,1,0,0,"Yes","Just a few clips","Hillary Clinton",9,"Other",6,7,10,10,10,9,10,5,10,7,7,"Yes","L1"
6,6,0,4,0,10,0,0,0,0,0,0,0,0,0,"Yes","All of it","Hillary Clinton",10,"Hillary Clinton",10,10,10,10,10,10,10,0,0,10,0,"Yes","L1"
8,8,8,5,8,5,5,9,2,5,7,5,0,0,7,"Yes","Just a few clips","No opinion",9,"Hillary Clinton",5,10,7,7,8,9,10,7,10,7,10,"Yes","L1"
7,7,6,8,5,6,6,6,5,10,10,10,2,6,10,"No","All of it","Unsure",2,"Other",10,6,10,10,10,7,10,3,1,10,0,"Yes","L1"
10,10,0,10,0,8,2,10,5,4,5,0,0,0,10,"Yes","No","No opinion",6,"Unsure",7,10,6,0,0,6,0,0,10,5,5,"Unsure","L1"
8,10,10,10,10,7,7,0,0,0,5,0,0,0,0,"Yes","Most of it","Unsure",10,"Donald Trump",4,9,6,6,3,9,9,8,5,8,6,"Yes","L1"
0,2,0,0,0,0,0,10,1,1,4,0,0,0,1,"No","Most of it","Hillary Clinton",9,"Hillary Clinton",10,6,10,10,9,7,10,1,1,8,1,"No","L1"
10,10,10,10,9,10,10,10,9,7,8,0,0,0,0,"No","No","No opinion",9,"Other",6,10,10,10,10,10,10,10,9,7,10,"Yes","L1"
0,0,0,0,0,0,0,10,1,0,0,0,0,0,10,"Yes","All of it","Hillary Clinton",10,"Donald Trump",10,10,10,10,5,10,10,9,4,10,10,"No","L1"
10,10,10,10,10,5,5,5,0,10,0,0,0,0,0,"No","Just a few clips","Hillary Clinton",10,"Donald Trump",7,8,4,5,6,8,0,8,0,7,8,"Unsure","L1"
8,5,1,5,1,7,5,3,4,3,7,0,1,1,8,"No","No","No opinion",5,"Unsure",2,3,5,2,5,5,4,3,4,9,3,"Unsure","L1"
8,10,10,10,10,10,10,5,0,5,4,7,0,1,1,"No","All of it","Donald Trump",10,"Donald Trump",1,10,6,0,1,10,0,9,7,6,10,"Yes","L1"
9,10,5,10,3,10,5,5,0,2,4,0,0,0,1,"Yes","No","Hillary Clinton",8,"Hillary Clinton",7,5,6,10,10,5,10,3,5,5,0,"No","L1"
10,2,2,2,2,6,4,5,1,0,3,0,0,0,0,"Yes","Most of it","Hillary Clinton",10,"Gary Johnson",8,7,10,10,10,5,10,6,10,10,7,"No","L1"
7,7,5,6,6,9,7,5,9,3,3,1,0,0,2,"No","Just a few clips","Hillary Clinton",10,"Hillary Clinton",9,7,8,8,9,7,9,6,5,10,5,"Yes","L1"
9,10,6,10,6,8,8,7,8,9,8,3,4,3,8,"No","Just a few clips","Unsure",10,"Hillary Clinton",8,7,8,10,9,7,9,8,9,8,7,"Yes","L1"
10,10,8,10,10,9,9,6,2,3,1,0,0,0,10,"Yes","Most of it","Hillary Clinton",10,"Hillary Clinton",10,8,7,8,8,7,6,5,3,8,1,"Yes","L1"
3,10,10,10,10,10,10,10,4,1,0,2,1,1,6,"No","No","Donald Trump",1,"Donald Trump",6,9,1,0,0,2,0,10,2,7,10,"Yes","L1"
0,2,2,2,2,2,2,2,1,0,0,0,0,0,0,"Yes","Just a few clips","Hillary Clinton",9,"Hillary Clinton",7,8,4,5,6,3,4,3,2,3,2,"Yes","L1"
7,3,0,3,0,6,4,8,0,0,5,0,0,0,7,"Yes","No","Unsure",8,"Hillary Clinton",8,8,5,7,6,5,9,2,0,4,0,"Yes","L1"
8,5,7,0,0,8,0,8,0,10,0,0,0,0,5,"No","Just a few clips","Unsure",10,"Gary Johnson",7,10,0,6,4,10,2,4,8,0,10,"No","L1"
5,5,4,5,5,7,5,7,0,5,0,0,0,0,9,"No","All of it","Unsure",0,"Unsure",8,5,8,8,7,9,5,3,7,9,5,"Unsure","L1"
4,1,0,4,0,2,3,2,3,5,1,0,0,1,3,"Yes","Just a few clips","No opinion",10,"Jill Stein",9,3,9,5,9,1,5,3,3,9,2,"No","L1"
10,10,10,10,10,10,10,9,8,10,5,5,0,5,5,"Yes","Just a few clips","Unsure",10,"Unsure",10,10,8,10,10,9,10,10,10,7,8,"Unsure","L1"
9,8,1,5,5,8,3,0,5,0,2,0,0,0,0,"No","Most of it","Hillary Clinton",10,"Hillary Clinton",8,8,9,10,6,10,10,4,2,10,0,"Yes","L1"
10,8,8,8,8,10,10,10,6,7,10,3,0,0,10,"Yes","No","Unsure",10,"Hillary Clinton",10,8,7,10,10,10,10,6,7,7,3,"Yes","L1"
10,5,5,5,5,10,10,10,8,5,8,8,2,2,5,"Yes","Just a few clips","No opinion",0,"Unsure",5,10,8,10,10,10,8,5,10,10,10,"No","L1"
7,10,10,10,10,7,7,6,0,6,0,2,0,0,2,"Yes","Just a few clips","Hillary Clinton",10,"Hillary Clinton",8,8,10,10,10,6,10,3,0,6,0,"Yes","L1"
7,0,0,3,3,8,7,5,0,3,3,0,0,0,2,"No","Just a few clips","No opinion",10,"Hillary Clinton",4,5,10,10,10,10,6,3,5,8,5,"No","L1"
7,6,4,7,6,7,7,5,0,1,5,0,0,0,0,"Yes","No","Unsure",7,"Hillary Clinton",3,9,6,0,7,2,8,6,8,3,2,"Yes","L1"
10,10,8,10,5,6,10,7,5,7,4,2,0,0,1,"Yes","Just a few clips","Unsure",2,"Hillary Clinton",7,9,7,10,10,10,10,6,7,8,6,"Unsure","L1"
8,6,6,7,6,3,5,5,6,6,5,2,0,1,2,"No","Just a few clips","Unsure",9,"Hillary Clinton",7,7,7,8,5,5,8,5,2,7,5,"No","L1"
10,10,10,9,9,10,10,6,0,1,1,1,1,0,5,"No","Most of it","Hillary Clinton",10,"Hillary Clinton",10,8,8,10,10,8,5,1,4,6,5,"Yes","L1"
6,5,2,3,2,2,3,7,2,0,5,0,0,0,5,"Yes","Most of it","No opinion",10,"Donald Trump",6,6,4,5,5,6,10,6,4,4,6,"Yes","L1"
8,7,7,7,7,10,5,5,5,3,2,0,0,0,6,"Yes","Just a few clips","Hillary Clinton",3,"Donald Trump",1,7,0,5,5,10,5,6,10,1,10,"Unsure","L1"
7,10,0,5,0,10,0,0,7,5,0,0,0,0,0,"No","Just a few clips","Hillary Clinton",7,"Hillary Clinton",10,5,6,9,7,5,0,7,0,8,1,"Yes","L1"
9,5,0,6,0,9,1,0,6,10,1,0,0,0,3,"No","Just a few clips","Hillary Clinton",10,"Hillary Clinton",2,8,7,1,10,3,5,7,2,9,8,"Yes","L1"
10,0,0,0,0,0,2,5,0,10,10,0,0,0,6,"Yes","Just a few clips","Hillary Clinton",10,"Hillary Clinton",10,8,10,10,10,10,10,0,8,10,8,"Yes","L1"
0,5,4,5,5,3,5,0,0,0,0,0,0,0,0,"No","All of it","Hillary Clinton",10,"Hillary Clinton",8,8,4,6,8,7,3,3,2,7,7,"Unsure","L1"
10,10,10,10,10,10,10,5,0,3,1,0,0,0,1,"Yes","Just a few clips","Donald Trump",10,"Donald Trump",6,9,6,5,0,7,3,4,4,1,7,"Yes","L1"
9,8,1,5,0,3,5,9,1,5,3,0,0,0,8,"No","No","No opinion",10,"Hillary Clinton",4,3,10,8,9,2,7,0,5,6,1,"Yes","L1"
7,5,5,5,5,10,5,5,0,0,0,0,0,0,0,"No","Just a few clips","Hillary Clinton",10,"Hillary Clinton",10,4,3,6,7,4,0,2,1,1,3,"Yes","L1"
5,7,5,10,5,9,9,3,0,6,0,0,0,0,7,"No","No","Unsure",8,"Hillary Clinton",6,10,3,10,6,5,10,10,10,5,3,"Yes","L1"
8,9,9,9,9,7,9,3,3,2,3,3,0,0,4,"Yes","Just a few clips","Hillary Clinton",8,"Hillary Clinton",8,9,8,10,9,8,10,10,1,8,2,"Yes","L1"
10,10,10,10,10,10,10,7,8,5,8,6,0,0,4,"No","Just a few clips","No opinion",6,"Gary Johnson",10,10,10,10,10,10,8,7,8,10,5,"Yes","L1"
7,4,7,5,5,5,5,10,3,10,6,0,0,0,8,"No","Just a few clips","Unsure",7,"Donald Trump",8,9,6,5,5,9,9,8,7,4,6,"Yes","L1"
7,10,10,8,9,8,8,8,3,6,7,7,3,3,7,"Yes","No","Unsure",0,"Other",5,5,8,7,10,8,6,3,7,4,7,"No","L1"
10,8,8,4,4,2,6,10,10,6,1,0,0,0,9,"Yes","All of it","No opinion",10,"Hillary Clinton",10,3,10,10,7,5,10,0,2,10,0,"Yes","L1"
2,5,0,3,1,1,3,5,7,0,0,1,0,0,0,"Yes","All of it","Hillary Clinton",10,"Hillary Clinton",7,7,10,10,10,2,4,3,0,10,0,"No","L1"
5,10,5,10,5,5,5,6,5,5,5,2,0,3,0,"Yes","Just a few clips","Unsure",5,"Unsure",10,7,10,10,10,5,5,5,5,1,2,"Yes","L1"
8,10,5,10,5,6,10,7,7,6,0,0,0,3,10,"No","Just a few clips","Hillary Clinton",10,"Other",7,5,10,10,10,5,7,2,8,10,3,"Yes","L1"
4,0,0,5,5,4,0,4,7,4,2,1,0,0,7,"No","Just a few clips","Hillary Clinton",10,"Hillary Clinton",10,7,10,10,10,9,10,4,0,10,2,"Yes","L1"
5,3,0,2,2,0,0,8,7,1,3,0,5,0,2,"No","No","No opinion",6,"Unsure",10,2,9,10,10,8,10,2,5,10,2,"Yes","L1"
10,10,10,10,10,10,10,5,0,0,0,0,0,0,0,"Yes","No","Unsure",5,"Gary Johnson",2,10,10,10,1,1,10,10,10,10,10,"No","L1"
5,10,0,8,6,5,8,3,5,5,10,4,1,5,4,"No","Just a few clips","Hillary Clinton",1,"Jill Stein",4,3,4,3,1,3,5,7,8,0,2,"Yes","L1"
10,10,10,10,10,10,10,8,0,0,0,0,0,0,0,"Yes","No","Unsure",0,"Unsure",5,5,0,10,6,0,8,0,4,0,0,"Yes","L1"
10,10,8,10,10,10,10,6,5,7,4,2,0,0,1,"Yes","Just a few clips","Donald Trump",6,"Donald Trump",8,10,9,7,6,9,10,7,8,10,7,"No","L1"
10,0,8,0,0,0,0,10,0,5,10,10,10,10,10,"Yes","Just a few clips","Unsure",10,"Hillary Clinton",5,10,10,10,10,5,10,5,10,5,5,"Unsure","L1"
8,10,8,10,0,10,10,7,10,5,5,0,0,0,8,"No","Just a few clips","Donald Trump",10,"Donald Trump",7,7,0,0,0,10,0,8,10,8,10,"No","L1"
8,7,4,9,4,10,5,1,2,1,4,0,0,0,2,"No","Most of it","Hillary Clinton",7,"Donald Trump",7,9,5,8,7,7,5,8,5,8,10,"No","L1"
8,10,10,10,10,10,7,2,0,1,0,2,0,0,1,"Yes","Most of it","Hillary Clinton",10,"Hillary Clinton",8,6,7,10,9,6,10,5,7,8,2,"Yes","L1"
7,5,0,1,0,8,0,4,1,5,4,0,0,0,4,"Yes","No","Hillary Clinton",7,"Hillary Clinton",4,7,4,6,1,8,5,2,7,1,5,"Yes","L1"
10,6,3,4,3,5,4,7,0,0,2,0,0,0,2,"No","Most of it","Hillary Clinton",10,"Hillary Clinton",10,5,10,8,8,10,5,8,6,10,0,"Yes","L1"
1,4,1,1,1,8,1,1,7,9,4,8,0,0,7,"No","Most of it","Hillary Clinton",10,"Hillary Clinton",10,10,10,10,10,5,10,0,0,10,0,"Yes","L1"
7,3,3,8,2,10,8,10,9,10,8,2,0,0,9,"No","No","No opinion",10,"Hillary Clinton",10,10,10,10,10,10,10,7,2,10,0,"No","L1"
9,5,7,5,5,10,7,9,8,5,10,0,0,0,10,"Yes","Most of it","Hillary Clinton",10,"Hillary Clinton",5,3,8,9,10,7,4,1,2,6,0,"Yes","L1"
10,10,10,10,10,10,10,3,4,9,5,0,0,0,7,"Yes","No","Unsure",4,"Gary Johnson",4,2,6,8,8,2,5,7,8,7,6,"Unsure","L1"
10,7,7,7,7,10,5,6,5,5,8,0,0,0,6,"Yes","Just a few clips","No opinion",10,"Donald Trump",7,10,5,7,8,6,5,3,7,8,3,"Yes","L1"
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Yes","Most of it","Hillary Clinton",10,"Hillary Clinton",10,8,9,10,10,5,10,2,0,3,0,"Yes","L1"
5,3,3,3,3,7,3,4,5,8,4,2,2,2,8,"Yes","Just a few clips","Unsure",10,"Hillary Clinton",8,4,7,10,8,9,10,5,5,9,2,"Unsure","L1"
10,10,10,8,8,7,9,0,3,0,0,0,0,0,0,"Yes","All of it","Hillary Clinton",10,"Hillary Clinton",10,10,10,10,10,6,10,0,0,10,0,"Yes","L1"
10,7,0,5,5,10,4,0,1,5,0,0,0,0,0,"Yes","All of it","Hillary Clinton",-1,"Hillary Clinton",6,9,4,10,10,10,10,8,3,9,10,"No","L1"
8,0,0,0,0,10,5,10,0,5,0,0,0,0,0,"No","No","Donald Trump",3,"Donald Trump",5,4,4,5,4,10,0,8,10,4,10,"Yes","L1"
8,10,6,7,3,8,8,9,5,5,7,0,0,0,4,"Yes","All of it","Hillary Clinton",10,"Hillary Clinton",10,9,10,10,9,6,8,2,0,10,3,"Yes","L1"
8,10,10,10,10,8,10,6,0,0,2,0,0,0,0,"Yes","Most of it","No opinion",5,"Gary Johnson",8,10,5,8,10,10,8,5,10,10,2,"Yes","L1"
5,4,1,2,1,3,1,2,1,2,1,0,0,0,2,"Yes","No","Unsure",6,"Hillary Clinton",4,4,5,5,4,4,5,0,0,1,0,"Yes","L1"
7,10,3,10,10,4,9,3,0,4,2,0,0,0,7,"Yes","Just a few clips","Donald Trump",10,"Donald Trump",3,10,7,5,5,8,7,10,8,8,2,"Yes","L1"
10,10,10,10,10,10,10,0,0,0,0,7,0,0,4,"No","No","No opinion",4,"Hillary Clinton",8,2,6,10,10,5,7,2,7,7,0,"Yes","L1"
8,2,2,2,2,2,2,2,4,3,2,1,1,1,5,"No","No","No opinion",2,"Unsure",5,2,5,7,7,4,8,4,2,8,2,"Unsure","L1"
9,10,10,10,10,10,10,3,0,2,4,0,0,0,6,"No","Most of it","Hillary Clinton",9,"Donald Trump",8,10,5,9,6,9,7,9,9,4,9,"Yes","L1"
2,1,1,1,1,2,1,1,1,5,1,1,1,1,6,"No","Just a few clips","Unsure",9,"Hillary Clinton",5,8,5,5,8,8,8,4,5,7,5,"Yes","L1"
7,3,2,2,2,6,8,2,5,5,5,3,1,6,5,"No","Just a few clips","Unsure",5,"Gary Johnson",4,6,4,8,5,3,7,6,6,10,3,"No","L1"
10,10,10,10,10,5,10,10,5,0,7,6,0,0,0,"Yes","No","No opinion",10,"Hillary Clinton",8,10,10,10,10,8,10,0,5,7,0,"Yes","L1"
2,1,0,2,0,2,0,2,4,0,1,0,0,0,6,"Yes","Just a few clips","Hillary Clinton",10,"Hillary Clinton",8,4,8,10,7,6,10,3,2,10,0,"Unsure","L1"
10,10,7,10,2,6,10,7,3,7,9,0,0,0,0,"No","No","No opinion",7,"Donald Trump",9,10,8,7,9,9,10,10,7,8,10,"Yes","L1"
8,10,10,10,10,8,10,10,9,5,5,1,0,0,6,"Yes","No","No opinion",6,"Donald Trump",7,8,5,5,8,8,8,8,4,5,4,"Yes","L1"
10,10,10,10,10,10,10,10,5,6,8,3,1,2,8,"No","No","Donald Trump",7,"Donald Trump",8,8,0,0,0,6,0,10,4,2,7,"Yes","L1"
10,10,10,10,10,10,10,10,5,0,5,0,0,0,0,"No","Most of it","Hillary Clinton",10,"Hillary Clinton",10,10,10,10,10,0,0,0,0,0,0,"Yes","L1"
8,3,1,4,3,6,2,3,3,1,4,0,0,0,1,"Yes","Just a few clips","Hillary Clinton",-1,"Donald Trump",2,8,4,9,3,7,7,2,3,7,7,"Unsure","L1"
7,3,2,5,3,6,3,8,7,8,4,0,1,0,8,"Yes","Most of it","Hillary Clinton",10,"Hillary Clinton",8,7,7,10,10,10,10,5,7,10,5,"Yes","L1"
9,10,10,10,10,5,10,0,3,6,3,0,0,0,0,"Yes","Most of it","Unsure",10,"Hillary Clinton",2,7,5,7,10,0,6,3,4,4,9,"Yes","L1"
5,0,5,4,4,8,3,3,7,0,2,1,1,1,5,"Yes","Most of it","Hillary Clinton",0,"Other",6,6,6,2,7,7,0,3,5,4,3,"Unsure","L1"
10,10,5,5,10,10,10,10,10,10,0,0,0,0,10,"No","No","Unsure",10,"Donald Trump",10,10,10,10,10,10,10,10,10,10,10,"No","L1"
7,10,6,10,8,8,7,5,2,2,3,0,0,0,0,"Yes","Most of it","Unsure",10,"Other",6,10,7,7,5,7,7,7,4,6,5,"Unsure","L1"
8,5,5,5,5,6,5,2,7,7,2,0,0,0,3,"Yes","No","No opinion",0,"Gary Johnson",10,9,3,2,2,7,3,2,3,5,5,"No","L1"
10,10,10,10,10,6,10,5,0,6,0,0,0,0,0,"Yes","Just a few clips","No opinion",8,"Other",2,7,2,10,10,4,4,2,5,4,10,"Yes","L1"
6,2,10,10,9,10,6,10,7,1,1,2,2,0,1,"No","All of it","Hillary Clinton",10,"Donald Trump",2,8,8,5,8,5,5,4,5,5,5,"Yes","L1"
9,10,10,10,10,9,10,8,0,4,1,0,0,0,3,"Yes","Just a few clips","Unsure",8,"Hillary Clinton",9,10,7,10,9,8,10,5,5,7,5,"No","L1"
10,8,5,5,5,4,5,1,0,6,5,0,0,0,0,"Yes","Just a few clips","Unsure",10,"Other",6,6,10,10,10,6,10,10,10,10,10,"Yes","L1"
0,0,0,0,0,0,0,3,5,0,0,0,5,0,0,"No","No","Unsure",10,"Hillary Clinton",10,8,6,8,8,8,9,3,1,9,0,"Yes","L1"
7,9,5,10,5,10,10,5,7,7,5,0,0,2,1,"No","No","Unsure",5,"Unsure",10,10,10,10,10,5,10,0,5,5,5,"Yes","L1"
7,10,10,10,10,5,10,0,0,0,0,5,0,0,0,"No","Most of it","Hillary Clinton",10,"Hillary Clinton",7,7,10,10,10,10,10,5,5,8,2,"No","L1"
10,10,10,10,10,9,10,3,4,9,5,0,0,0,0,"No","Just a few clips","No opinion",3,"Hillary Clinton",7,10,7,10,7,5,9,4,8,8,2,"Yes","L1"
10,10,10,10,10,10,10,6,0,0,0,9,0,0,7,"Yes","No","No opinion",10,"Unsure",10,4,3,7,6,2,9,5,1,8,9,"Unsure","L1"
7,10,10,10,10,3,10,0,9,2,3,0,0,0,0,"Yes","No","Hillary Clinton",6,"Unsure",7,8,7,8,9,6,8,5,6,7,7,"Yes","L1"
10,0,0,3,3,5,5,10,1,5,10,0,3,0,5,"Yes","Just a few clips","Hillary Clinton",10,"Hillary Clinton",10,5,5,5,3,0,10,5,0,10,0,"Yes","L1"
7,10,9,10,9,7,8,8,6,6,8,8,5,5,4,"No","All of it","Donald Trump",10,"Donald Trump",6,9,5,3,5,6,2,8,6,4,8,"Unsure","L2"
10,10,10,10,10,8,10,0,0,0,7,5,0,0,0,"No","No","No opinion",10,"Hillary Clinton",5,10,10,10,8,8,2,1,0,10,0,"Yes","L2"
